team,player,wage,choice
Atlanta Hawks,Adonis,10,UNDER
Atlanta Hawks,Andy,10,UNDER
Atlanta Hawks,Chester,12,OVER
Atlanta Hawks,Jake,11,OVER
Atlanta Hawks,Mary,13,OVER
Atlanta Hawks,Mike,6,UNDER
Atlanta Hawks,Phil,15,OVER
Atlanta Hawks,Ryan,11,OVER
Boston Celtics,Adonis,6,UNDER
Boston Celtics,Andy,14,OVER
Boston Celtics,Chester,9,OVER
Boston Celtics,Jake,6,UNDER
Boston Celtics,Mary,12,OVER
Boston Celtics,Mike,13,OVER
Boston Celtics,Phil,8,UNDER
Boston Celtics,Ryan,12,OVER
Brooklyn Nets,Adonis,9,OVER
Brooklyn Nets,Andy,8,UNDER
Brooklyn Nets,Chester,11,OVER
Brooklyn Nets,Jake,10,UNDER
Brooklyn Nets,Mary,10,UNDER
Brooklyn Nets,Mike,13,OVER
Brooklyn Nets,Phil,13,OVER
Brooklyn Nets,Ryan,11,OVER
Charlotte Hornets,Adonis,13,UNDER
Charlotte Hornets,Andy,12,OVER
Charlotte Hornets,Chester,6,UNDER
Charlotte Hornets,Jake,7,OVER
Charlotte Hornets,Mary,9,UNDER
Charlotte Hornets,Mike,14,OVER
Charlotte Hornets,Phil,14,UNDER
Charlotte Hornets,Ryan,13,OVER
Chicago Bulls,Adonis,6,OVER
Chicago Bulls,Andy,6,UNDER
Chicago Bulls,Chester,11,UNDER
Chicago Bulls,Jake,12,UNDER
Chicago Bulls,Mary,11,UNDER
Chicago Bulls,Mike,10,UNDER
Chicago Bulls,Phil,15,UNDER
Chicago Bulls,Ryan,6,UNDER
Cleveland Cavaliers,Adonis,7,OVER
Cleveland Cavaliers,Andy,14,UNDER
Cleveland Cavaliers,Chester,13,OVER
Cleveland Cavaliers,Jake,7,UNDER
Cleveland Cavaliers,Mary,14,OVER
Cleveland Cavaliers,Mike,8,UNDER
Cleveland Cavaliers,Phil,7,OVER
Cleveland Cavaliers,Ryan,11,UNDER
Detroit Pistons,Adonis,15,OVER
Detroit Pistons,Andy,9,UNDER
Detroit Pistons,Chester,7,OVER
Detroit Pistons,Jake,15,OVER
Detroit Pistons,Mary,8,UNDER
Detroit Pistons,Mike,6,OVER
Detroit Pistons,Phil,13,OVER
Detroit Pistons,Ryan,8,UNDER
Indiana Pacers,Adonis,14,UNDER
Indiana Pacers,Andy,7,UNDER
Indiana Pacers,Chester,15,OVER
Indiana Pacers,Jake,8,OVER
Indiana Pacers,Mary,6,UNDER
Indiana Pacers,Mike,11,OVER
Indiana Pacers,Phil,9,UNDER
Indiana Pacers,Ryan,9,UNDER
Miami Heat,Adonis,10,OVER
Miami Heat,Andy,11,OVER
Miami Heat,Chester,13,UNDER
Miami Heat,Jake,10,UNDER
Miami Heat,Mary,6,UNDER
Miami Heat,Mike,11,UNDER
Miami Heat,Phil,9,UNDER
Miami Heat,Ryan,15,OVER
Milwaukee Bucks,Adonis,13,OVER
Milwaukee Bucks,Andy,15,OVER
Milwaukee Bucks,Chester,10,OVER
Milwaukee Bucks,Jake,12,OVER
Milwaukee Bucks,Mary,15,OVER
Milwaukee Bucks,Mike,15,OVER
Milwaukee Bucks,Phil,11,OVER
Milwaukee Bucks,Ryan,10,OVER
New York Knicks,Adonis,7,OVER
New York Knicks,Andy,10,UNDER
New York Knicks,Chester,14,OVER
New York Knicks,Jake,11,UNDER
New York Knicks,Mary,12,OVER
New York Knicks,Mike,14,OVER
New York Knicks,Phil,14,OVER
New York Knicks,Ryan,13,OVER
Orlando Magic,Adonis,12,OVER
Orlando Magic,Andy,6,OVER
Orlando Magic,Chester,14,OVER
Orlando Magic,Jake,11,UNDER
Orlando Magic,Mary,14,OVER
Orlando Magic,Mike,7,OVER
Orlando Magic,Phil,8,UNDER
Orlando Magic,Ryan,7,UNDER
Philadelphia 76ers,Adonis,7,UNDER
Philadelphia 76ers,Andy,12,UNDER
Philadelphia 76ers,Chester,6,UNDER
Philadelphia 76ers,Jake,13,OVER
Philadelphia 76ers,Mary,9,UNDER
Philadelphia 76ers,Mike,11,OVER
Philadelphia 76ers,Phil,6,OVER
Philadelphia 76ers,Ryan,13,UNDER
Washington Wizards,Adonis,15,UNDER
Washington Wizards,Andy,9,OVER
Washington Wizards,Chester,6,UNDER
Washington Wizards,Jake,8,OVER
Washington Wizards,Mary,7,UNDER
Washington Wizards,Mike,8,UNDER
Washington Wizards,Phil,12,UNDER
Washington Wizards,Ryan,7,OVER
Toronto Raptors,Adonis,11,UNDER
Toronto Raptors,Andy,7,OVER
Toronto Raptors,Chester,8,UNDER
Toronto Raptors,Jake,8,UNDER
Toronto Raptors,Mary,8,UNDER
Toronto Raptors,Mike,14,OVER
Toronto Raptors,Phil,6,UNDER
Toronto Raptors,Ryan,6,UNDER
Dallas Mavericks,Adonis,9,OVER
Dallas Mavericks,Andy,9,OVER
Dallas Mavericks,Chester,13,OVER
Dallas Mavericks,Jake,14,OVER
Dallas Mavericks,Mary,10,UNDER
Dallas Mavericks,Mike,9,OVER
Dallas Mavericks,Phil,12,OVER
Dallas Mavericks,Ryan,14,OVER
Denver Nuggets,Adonis,13,OVER
Denver Nuggets,Andy,11,OVER
Denver Nuggets,Chester,12,OVER
Denver Nuggets,Jake,14,OVER
Denver Nuggets,Mary,15,OVER
Denver Nuggets,Mike,12,OVER
Denver Nuggets,Phil,9,UNDER
Denver Nuggets,Ryan,8,OVER
Golden State Warriors,Adonis,6,OVER
Golden State Warriors,Andy,13,UNDER
Golden State Warriors,Chester,8,UNDER
Golden State Warriors,Jake,6,UNDER
Golden State Warriors,Mary,13,OVER
Golden State Warriors,Mike,15,OVER
Golden State Warriors,Phil,12,UNDER
Golden State Warriors,Ryan,15,OVER
Houston Rockets,Adonis,12,UNDER
Houston Rockets,Andy,14,UNDER
Houston Rockets,Chester,9,OVER
Houston Rockets,Jake,15,OVER
Houston Rockets,Mary,11,OVER
Houston Rockets,Mike,13,OVER
Houston Rockets,Phil,6,OVER
Houston Rockets,Ryan,9,OVER
Los Angeles Clippers,Adonis,9,UNDER
Los Angeles Clippers,Andy,8,OVER
Los Angeles Clippers,Chester,12,UNDER
Los Angeles Clippers,Jake,12,OVER
Los Angeles Clippers,Mary,8,OVER
Los Angeles Clippers,Mike,6,OVER
Los Angeles Clippers,Phil,8,UNDER
Los Angeles Clippers,Ryan,10,OVER
Los Angeles Lakers,Adonis,8,OVER
Los Angeles Lakers,Andy,15,UNDER
Los Angeles Lakers,Chester,11,OVER
Los Angeles Lakers,Jake,6,UNDER
Los Angeles Lakers,Mary,14,OVER
Los Angeles Lakers,Mike,9,UNDER
Los Angeles Lakers,Phil,13,OVER
Los Angeles Lakers,Ryan,8,UNDER
Memphis Grizzlies,Adonis,14,UNDER
Memphis Grizzlies,Andy,11,OVER
Memphis Grizzlies,Chester,7,UNDER
Memphis Grizzlies,Jake,14,OVER
Memphis Grizzlies,Mary,11,OVER
Memphis Grizzlies,Mike,15,OVER
Memphis Grizzlies,Phil,7,OVER
Memphis Grizzlies,Ryan,14,OVER
Minnesota Timberwolves,Adonis,14,UNDER
Minnesota Timberwolves,Andy,8,OVER
Minnesota Timberwolves,Chester,10,OVER
Minnesota Timberwolves,Jake,9,OVER
Minnesota Timberwolves,Mary,7,UNDER
Minnesota Timberwolves,Mike,8,UNDER
Minnesota Timberwolves,Phil,10,UNDER
Minnesota Timberwolves,Ryan,10,OVER
New Orleans Pelicans,Adonis,12,OVER
New Orleans Pelicans,Andy,7,OVER
New Orleans Pelicans,Chester,10,UNDER
New Orleans Pelicans,Jake,13,OVER
New Orleans Pelicans,Mary,13,UNDER
New Orleans Pelicans,Mike,7,UNDER
New Orleans Pelicans,Phil,11,OVER
New Orleans Pelicans,Ryan,9,UNDER
Oklahoma City Thunder,Adonis,8,OVER
Oklahoma City Thunder,Andy,13,UNDER
Oklahoma City Thunder,Chester,14,OVER
Oklahoma City Thunder,Jake,9,UNDER
Oklahoma City Thunder,Mary,12,OVER
Oklahoma City Thunder,Mike,10,OVER
Oklahoma City Thunder,Phil,10,OVER
Oklahoma City Thunder,Ryan,15,UNDER
Phoenix Suns,Adonis,10,OVER
Phoenix Suns,Andy,12,UNDER
Phoenix Suns,Chester,8,UNDER
Phoenix Suns,Jake,7,OVER
Phoenix Suns,Mary,15,OVER
Phoenix Suns,Mike,7,UNDER
Phoenix Suns,Phil,7,OVER
Phoenix Suns,Ryan,6,UNDER
Portland Trail Blazers,Adonis,15,UNDER
Portland Trail Blazers,Andy,6,UNDER
Portland Trail Blazers,Chester,7,UNDER
Portland Trail Blazers,Jake,9,OVER
Portland Trail Blazers,Mary,10,OVER
Portland Trail Blazers,Mike,12,OVER
Portland Trail Blazers,Phil,11,OVER
Portland Trail Blazers,Ryan,12,UNDER
Sacramento Kings,Adonis,8,UNDER
Sacramento Kings,Andy,13,OVER
Sacramento Kings,Chester,9,UNDER
Sacramento Kings,Jake,13,UNDER
Sacramento Kings,Mary,6,UNDER
Sacramento Kings,Mike,12,UNDER
Sacramento Kings,Phil,14,OVER
Sacramento Kings,Ryan,7,UNDER
San Antonio Spurs,Adonis,11,UNDER
San Antonio Spurs,Andy,15,OVER
San Antonio Spurs,Chester,15,OVER
San Antonio Spurs,Jake,15,OVER
San Antonio Spurs,Mary,7,UNDER
San Antonio Spurs,Mike,9,UNDER
San Antonio Spurs,Phil,15,UNDER
San Antonio Spurs,Ryan,14,UNDER
Utah Jazz,Adonis,11,UNDER
Utah Jazz,Andy,10,UNDER
Utah Jazz,Chester,15,OVER
Utah Jazz,Jake,10,UNDER
Utah Jazz,Mary,9,UNDER
Utah Jazz,Mike,10,OVER
Utah Jazz,Phil,10,UNDER
Utah Jazz,Ryan,12,OVER
