"combo","yellow_wins","real_wins","draws","yellow_pct","real_pct","avg_skill"
"Nov / Nov / Nov",504,4136,5360,5.04,41.36,1
"Nov / Nov / Mid",342,4765,4893,3.42,47.65,1.33333333333333
"Nov / Nov / Opt",341,4865,4794,3.41,48.65,1.66666666666667
"Nov / Mid / Mid",244,5188,4568,2.44,51.88,1.66666666666667
"Nov / Mid / Opt",265,5094,4641,2.65,50.94,2
"Nov / Opt / Opt",289,4847,4864,2.89,48.47,2.33333333333333
"Mid / Mid / Mid",188,5448,4364,1.88,54.48,2
"Mid / Mid / Opt",238,5317,4445,2.38,53.17,2.33333333333333
"Mid / Opt / Opt",268,4933,4799,2.68,49.33,2.66666666666667
"Opt / Opt / Opt",269,4373,5358,2.69,43.73,3
