team,player,wage,choice
Atlanta Hawks,Adonis,14,UNDER
Atlanta Hawks,Andy,10,OVER
Atlanta Hawks,Chester,15,OVER
Atlanta Hawks,Jake,10,UNDER
Atlanta Hawks,Mary,10,OVER
Atlanta Hawks,Mike,14,OVER
Atlanta Hawks,Phil,14,OVER
Atlanta Hawks,Ryan,6,UNDER
Boston Celtics,Adonis,14,UNDER
Boston Celtics,Andy,9,OVER
Boston Celtics,Chester,7,OVER
Boston Celtics,Jake,10,OVER
Boston Celtics,Mary,6,OVER
Boston Celtics,Mike,7,OVER
Boston Celtics,Phil,11,OVER
Boston Celtics,Ryan,12,OVER
Brooklyn Nets,Adonis,8,UNDER
Brooklyn Nets,Andy,12,OVER
Brooklyn Nets,Chester,8,OVER
Brooklyn Nets,Jake,8,OVER
Brooklyn Nets,Mary,6,OVER
Brooklyn Nets,Mike,10,UNDER
Brooklyn Nets,Phil,9,UNDER
Brooklyn Nets,Ryan,7,OVER
Charlotte Hornets,Adonis,13,UNDER
Charlotte Hornets,Andy,14,UNDER
Charlotte Hornets,Chester,11,UNDER
Charlotte Hornets,Jake,9,OVER
Charlotte Hornets,Mary,13,UNDER
Charlotte Hornets,Mike,8,OVER
Charlotte Hornets,Phil,6,UNDER
Charlotte Hornets,Ryan,6,UNDER
Chicago Bulls,Adonis,8,OVER
Chicago Bulls,Andy,9,UNDER
Chicago Bulls,Chester,13,OVER
Chicago Bulls,Jake,14,OVER
Chicago Bulls,Mary,10,OVER
Chicago Bulls,Mike,12,OVER
Chicago Bulls,Phil,10,OVER
Chicago Bulls,Ryan,11,UNDER
Cleveland Cavaliers,Adonis,12,OVER
Cleveland Cavaliers,Andy,15,OVER
Cleveland Cavaliers,Chester,14,UNDER
Cleveland Cavaliers,Jake,15,OVER
Cleveland Cavaliers,Mary,15,OVER
Cleveland Cavaliers,Mike,15,OVER
Cleveland Cavaliers,Phil,11,OVER
Cleveland Cavaliers,Ryan,7,UNDER
Dallas Mavericks,Adonis,6,OVER
Dallas Mavericks,Andy,9,UNDER
Dallas Mavericks,Chester,6,UNDER
Dallas Mavericks,Jake,6,OVER
Dallas Mavericks,Mary,7,UNDER
Dallas Mavericks,Mike,6,OVER
Dallas Mavericks,Phil,8,UNDER
Dallas Mavericks,Ryan,15,OVER
Denver Nuggets,Adonis,7,OVER
Denver Nuggets,Andy,14,OVER
Denver Nuggets,Chester,13,OVER
Denver Nuggets,Jake,6,OVER
Denver Nuggets,Mary,15,OVER
Denver Nuggets,Mike,13,OVER
Denver Nuggets,Phil,15,OVER
Denver Nuggets,Ryan,15,OVER
Detroit Pistons,Adonis,10,OVER
Detroit Pistons,Andy,13,OVER
Detroit Pistons,Chester,10,OVER
Detroit Pistons,Jake,12,OVER
Detroit Pistons,Mary,13,OVER
Detroit Pistons,Mike,9,UNDER
Detroit Pistons,Phil,6,UNDER
Detroit Pistons,Ryan,14,UNDER
Golden State Warriors,Adonis,13,OVER
Golden State Warriors,Andy,8,UNDER
Golden State Warriors,Chester,13,OVER
Golden State Warriors,Jake,7,UNDER
Golden State Warriors,Mary,7,OVER
Golden State Warriors,Mike,11,OVER
Golden State Warriors,Phil,14,OVER
Golden State Warriors,Ryan,11,UNDER
Houston Rockets,Adonis,11,UNDER
Houston Rockets,Andy,14,UNDER
Houston Rockets,Chester,14,OVER
Houston Rockets,Jake,6,OVER
Houston Rockets,Mary,14,OVER
Houston Rockets,Mike,13,UNDER
Houston Rockets,Phil,10,OVER
Houston Rockets,Ryan,7,OVER
Indiana Pacers,Adonis,9,UNDER
Indiana Pacers,Andy,8,OVER
Indiana Pacers,Chester,8,UNDER
Indiana Pacers,Jake,9,UNDER
Indiana Pacers,Mary,7,OVER
Indiana Pacers,Mike,7,UNDER
