latitude,longitude,withinContinent,within1mile,location
47.1266,-80.6203,0,0,Canada
45.7583,-120.8124,1,1,Washington
28.9209,-95.1979,0,0,Atlantic
38.9651,-92.7329,1,1,Missouri
48.0688,-67.8434,0,1,Canada
33.0994,-86.1254,1,1,Alabama
29.8485,-89.2678,0,0,Atlantic
47.6883,-104.1876,1,1,Montana
40.8551,-116.8562,1,0,Nevada
37.1973,-77.7142,1,1,Virginia
34.2471,-95.3911,1,1,Oklahoma
28.1134,-116.5808,0,0,Pacific
31.0942,-72.9601,0,0,Atlantic
30.8521,-79.8505,0,0,Atlantic
49.6872,-82.3484,0,1,Canada
46.5574,-75.5391,0,1,Canada
45.6051,-107.1175,1,1,Montana
26.1275,-105.0905,0,1,Mexico
26.2141,-113.3295,0,0,Pacific
26.8611,-123.8185,0,0,Pacific
47.855,-121.9586,1,1,Washington
31.8672,-91.3267,1,1,Louisiana
49.7412,-92.2093,0,1,Canada
31.5219,-77.5369,0,0,Atlantic
43.9077,-83.9993,1,1,Michigan
28.1934,-93.1214,0,0,Atlantic
32.6959,-93.3969,1,1,Louisiana
27.1434,-105.9946,0,0,Mexico
28.1519,-115.1511,0,0,Mexico
32.5425,-71.9393,0,0,Atlantic
49.8565,-102.1017,0,0,Canada
45.0483,-83.2948,1,0,Lake
37.2722,-88.5395,1,1,Illinois
44.3564,-92.1872,1,1,Minnesota
46.7707,-82.3237,0,0,Canada
32.1421,-120.1902,0,0,Pacific
49.6921,-72.2539,0,1,Canada
27.9211,-120.6751,0,0,Pacfic
35.4018,-105.0789,1,1,New Mexico
41.2574,-122.9393,1,1,Washington
48.6476,-74.9903,0,0,Canada
32.4402,-70.0888,0,0,Atlantic
26.0028,-104.7968,0,1,Mexico
42.1135,-67.6502,0,0,Atlantic
27.7195,-112.6038,0,0,Mexico
33.5989,-97.3683,1,1,Texas
39.0083,-89.8172,1,1,Illinois
49.3201,-87.5682,0,0,Canada
39.4006,-65.7774,0,0,Atlantic
47.3702,-94.1103,1,1,Minnesota
35.8961,-71.2884,0,0,Atlantic
30.6511,-79.0433,0,0,Atlantic
33.8348,-91.1868,1,1,Arkansas
49.8066,-116.9564,0,0,Canada
31.5091,-87.0951,1,1,Alabama
44.3437,-91.9737,1,1,Minnesota
46.0409,-92.26,1,1,Wisconsin
39.7675,-113.2777,1,0,Utah
46.657,-98.3787,1,1,North Dakota
38.2621,-119.3236,0,0,Pacific
32.9867,-107.2063,1,1,New Mexico
29.7659,-71.4626,0,0,Atlantic
34.9742,-67.5418,0,0,Atlantic
32.7221,-88.4923,1,1,Mississippi 
47.5389,-80.3308,0,0,Canada
34.7287,-109.8078,1,1,Arizona
38.1629,-120.7454,1,0,California
44.1892,-68.2779,0,0,Atlantic
45.4739,-89.1666,1,1,Tennessee 
48.4671,-103.0392,1,1,North Dakota
35.675,-124.0522,0,0,Pacific
38.3314,-111.1905,1,0,Utah
35.8086,-102.3397,1,1,Texas
34.7079,-107.3362,1,1,New Mexico
37.1361,-95.3041,1,1,Kansas
39.7302,-109.5487,1,1,Utah
34.1602,-79.3115,1,1,South Carolina 
