state,county,black_perc
Oregon,Polk County,0.8817120328500713
Oregon,Wallowa County,0.5396732788798133
Oregon,Wheeler County,0.07363770250368189
Oregon,Wasco County,0.7061105722599418
Oregon,Yamhill County,1.0607935008133724
Oregon,Hood River County,0.6612784717119765
Oregon,Josephine County,0.5664050976458789
Oregon,Sherman County,0.4166666666666667
Oregon,Lake County,0.7025162856048026
Oregon,Malheur County,1.454904542462146
Oregon,Clatsop County,0.8828738336285058
Oregon,Clackamas County,1.0692004034718503
Oregon,Coos County,0.7651970025823418
Oregon,Lane County,1.1113407459457971
Oregon,Tillamook County,0.5691342143219117
Oregon,Multnomah County,5.75368154129982
Oregon,Deschutes County,0.5129287719378323
Oregon,Columbia County,0.5766129032258064
Oregon,Grant County,0.23660403618649967
Oregon,Washington County,2.2381017053032597
Washington,Chelan County,0.8870498651578447
Washington,Grant County,1.75318199852025
Washington,Asotin County,0.6152454195883285
Washington,Columbia County,0.5578093306288032
Washington,Snohomish County,3.1712580307339406
Washington,Jefferson County,1.0011159981618853
Washington,Clallam County,1.028767384263669
Washington,Mason County,1.3355620012126574
Washington,Skagit County,0.9569456527091574
Washington,Pierce County,7.420902087080576
Washington,Whatcom County,1.2327824989165457
Washington,Lincoln County,0.4360042631527953
Washington,Spokane County,1.986169530191773
Washington,Yakima County,1.5054454848691878
Washington,Douglas County,0.8116642818374699
Washington,San Juan County,0.6337681516121092
Washington,Pacific County,1.0024942440521873
Washington,Skamania County,0.537966310962166
Washington,Kitsap County,3.0300118017460433
Washington,Kittitas County,1.1648062122997989
