team,player,wage,choice
Los Angeles Clippers,Ryan,9,UNDER
Los Angeles Lakers,Adonis,7,OVER
Los Angeles Lakers,Andy,9,UNDER
Los Angeles Lakers,Chester,12,OVER
Los Angeles Lakers,Jake,13,UNDER
Los Angeles Lakers,Mary,14,UNDER
Los Angeles Lakers,Mike,15,UNDER
Los Angeles Lakers,Phil,15,UNDER
Los Angeles Lakers,Ryan,12,OVER
Memphis Grizzlies,Adonis,9,UNDER
Memphis Grizzlies,Andy,7,OVER
Memphis Grizzlies,Chester,11,UNDER
Memphis Grizzlies,Jake,13,OVER
Memphis Grizzlies,Mary,10,OVER
Memphis Grizzlies,Mike,7,OVER
Memphis Grizzlies,Phil,9,UNDER
Memphis Grizzlies,Ryan,11,OVER
Minnesota Timberwolves,Adonis,6,UNDER
Minnesota Timberwolves,Andy,13,UNDER
Minnesota Timberwolves,Chester,12,UNDER
Minnesota Timberwolves,Jake,8,UNDER
Minnesota Timberwolves,Mary,6,OVER
Minnesota Timberwolves,Mike,8,UNDER
Minnesota Timberwolves,Phil,9,OVER
Minnesota Timberwolves,Ryan,14,UNDER
New Orleans Pelicans,Adonis,11,UNDER
New Orleans Pelicans,Andy,8,UNDER
New Orleans Pelicans,Chester,9,UNDER
New Orleans Pelicans,Jake,8,OVER
New Orleans Pelicans,Mary,8,UNDER
New Orleans Pelicans,Mike,11,UNDER
New Orleans Pelicans,Phil,12,OVER
New Orleans Pelicans,Ryan,11,UNDER
Oklahoma City Thunder,Adonis,14,OVER
Oklahoma City Thunder,Andy,14,UNDER
Oklahoma City Thunder,Chester,8,UNDER
Oklahoma City Thunder,Jake,10,OVER
Oklahoma City Thunder,Mary,15,OVER
Oklahoma City Thunder,Mike,8,OVER
Oklahoma City Thunder,Phil,14,OVER
Oklahoma City Thunder,Ryan,15,OVER
Phoenix Suns,Adonis,13,OVER
Phoenix Suns,Andy,8,UNDER
Phoenix Suns,Chester,13,UNDER
Phoenix Suns,Jake,11,OVER
Phoenix Suns,Mary,11,OVER
Phoenix Suns,Mike,14,OVER
Phoenix Suns,Phil,11,UNDER
Phoenix Suns,Ryan,13,OVER
Portland Trail Blazers,Adonis,13,UNDER
Portland Trail Blazers,Andy,10,OVER
Portland Trail Blazers,Chester,7,OVER
Portland Trail Blazers,Jake,6,OVER
Portland Trail Blazers,Mary,14,UNDER
Portland Trail Blazers,Mike,10,UNDER
Portland Trail Blazers,Phil,13,UNDER
Portland Trail Blazers,Ryan,10,UNDER
Sacramento Kings,Adonis,9,OVER
Sacramento Kings,Andy,9,OVER
Sacramento Kings,Chester,15,UNDER
Sacramento Kings,Jake,7,OVER
Sacramento Kings,Mary,9,OVER
Sacramento Kings,Mike,9,OVER
Sacramento Kings,Phil,7,UNDER
Sacramento Kings,Ryan,10,UNDER
San Antonio Spurs,Adonis,8,UNDER
San Antonio Spurs,Andy,15,OVER
San Antonio Spurs,Chester,15,OVER
San Antonio Spurs,Jake,13,OVER
San Antonio Spurs,Mary,10,OVER
San Antonio Spurs,Mike,9,OVER
San Antonio Spurs,Phil,14,UNDER
San Antonio Spurs,Ryan,6,OVER
Utah Jazz,Adonis,11,UNDER
Utah Jazz,Andy,12,UNDER
Utah Jazz,Chester,9,OVER
Utah Jazz,Jake,11,OVER
Utah Jazz,Mary,11,OVER
Utah Jazz,Mike,6,UNDER
Utah Jazz,Phil,13,UNDER
Utah Jazz,Ryan,9,OVER
