team,player,wage,choice
Atlanta Hawks,Adonis,6,UNDER
Atlanta Hawks,Andy,7,UNDER
Atlanta Hawks,Chester,11,OVER
Atlanta Hawks,Jake,14,OVER
Atlanta Hawks,Jenelle,12,UNDER
Atlanta Hawks,Mary,14,OVER
Atlanta Hawks,Mike,7,OVER
Atlanta Hawks,Phil,10,UNDER
Atlanta Hawks,Ryan,12,UNDER
Boston Celtics,Adonis,7,UNDER
Boston Celtics,Andy,12,UNDER
Boston Celtics,Chester,6,UNDER
Boston Celtics,Jake,9,UNDER
Boston Celtics,Jenelle,15,UNDER
Boston Celtics,Mary,6,UNDER
Boston Celtics,Mike,15,UNDER
Boston Celtics,Phil,9,UNDER
Boston Celtics,Ryan,9,UNDER
Brooklyn Nets,Adonis,13,UNDER
Brooklyn Nets,Andy,11,UNDER
Brooklyn Nets,Chester,7,UNDER
Brooklyn Nets,Jake,15,UNDER
Brooklyn Nets,Jenelle,8,OVER
Brooklyn Nets,Mary,9,OVER
Brooklyn Nets,Mike,11,OVER
Brooklyn Nets,Phil,14,UNDER
Brooklyn Nets,Ryan,6,UNDER
Charlotte Hornets,Adonis,10,OVER
Charlotte Hornets,Andy,6,UNDER
Charlotte Hornets,Chester,12,UNDER
Charlotte Hornets,Jake,11,OVER
Charlotte Hornets,Jenelle,10,UNDER
Charlotte Hornets,Mary,12,UNDER
Charlotte Hornets,Mike,11,UNDER
Charlotte Hornets,Phil,15,UNDER
Charlotte Hornets,Ryan,14,UNDER
Chicago Bulls,Adonis,10,OVER
Chicago Bulls,Andy,9,OVER
Chicago Bulls,Chester,10,OVER
Chicago Bulls,Jake,9,OVER
Chicago Bulls,Jenelle,14,UNDER
Chicago Bulls,Mary,13,OVER
Chicago Bulls,Mike,14,UNDER
Chicago Bulls,Phil,15,UNDER
Chicago Bulls,Ryan,12,OVER
Cleveland Cavaliers,Adonis,13,OVER
Cleveland Cavaliers,Andy,15,UNDER
Cleveland Cavaliers,Chester,15,OVER
Cleveland Cavaliers,Jake,15,UNDER
Cleveland Cavaliers,Jenelle,15,OVER
Cleveland Cavaliers,Mary,15,OVER
Cleveland Cavaliers,Mike,15,OVER
Cleveland Cavaliers,Phil,7,UNDER
Cleveland Cavaliers,Ryan,11,OVER
Detroit Pistons,Adonis,8,UNDER
