state,county,black_perc
Alabama,Autauga County,19.159123349052344
Alabama,Baldwin County,9.538606541684462
Alabama,Barbour County,47.710370342406286
Alabama,Bibb County,22.215826063853342
Alabama,Blount County,1.8795623602032148
Alabama,Bullock County,69.9607329842932
Alabama,Butler County,44.27905130495187
Alabama,Calhoun County,21.177996886351842
Alabama,Chambers County,39.75031503677871
Alabama,Cherokee County,4.72949456668858
Alabama,Chilton County,10.52499829324352
Alabama,Choctaw County,42.217160212604405
Alabama,Clarke County,44.23100303951368
Alabama,Clay County,14.570269273330874
Alabama,Cleburne County,3.6356372353176187
Alabama,Coffee County,17.951221417273633
Alabama,Colbert County,16.458770283695774
Alabama,Conecuh County,46.6540404040404
Alabama,Coosa County,30.57627750839239
Alabama,Covington County,13.180917140214088
Alabama,Crenshaw County,24.192508773186276
Alabama,Cullman County,1.5157612340710933
Alabama,Dale County,20.20579037627358
Alabama,Dallas County,69.66764727334613
Alabama,DeKalb County,2.1734851680022493
Alabama,Elmore County,21.334757205283054
Alabama,Escambia County,32.45918124321893
Alabama,Etowah County,15.688405445530144
Alabama,Fayette County,12.112894564114804
Alabama,Franklin County,5.013250883392226
Alabama,Geneva County,9.64260372707921
Alabama,Greene County,80.25710579077722
Alabama,Hale County,57.75152641359171
Alabama,Henry County,27.04837117472853
Alabama,Houston County,26.654699394276825
Alabama,Jackson County,3.6284553310822414
Alabama,Jefferson County,43.052121017555386
Alabama,Lamar County,11.032694800518508
Alabama,Lauderdale County,10.363298630610393
Alabama,Lawrence County,11.176204137097992
Alabama,Lee County,23.80870484671291
Alabama,Limestone County,13.547450988948647
Alabama,Lowndes County,72.39433926180914
Alabama,Macon County,80.9002878827532
Alabama,Madison County,24.736822727414335
Alabama,Marengo County,50.95865787896944
Alabama,Marion County,4.339034738796076
Alabama,Marshall County,2.8271311691739247
Alabama,Mobile County,35.50163097774408
Alabama,Monroe County,40.94495455174641
Alabama,Montgomery County,56.97491159681969
Alabama,Morgan County,12.689332162422112
Alabama,Perry County,67.29175300455864
Alabama,Pickens County,40.00191717791411
Alabama,Pike County,37.015069902560064
Alabama,Randolph County,20.038773352132537
Alabama,Russell County,43.73449547435468
Alabama,St. Clair County,9.638927808530676
Alabama,Shelby County,12.487482811324641
Alabama,Sumter County,72.16667938640006
Alabama,Talladega County,32.56412158986916
Alabama,Tallapoosa County,27.333268044265992
Alabama,Tuscaloosa County,31.383594148331177
Alabama,Walker County,6.369651116488498
Alabama,Washington County,24.27993334920257
Alabama,Wilcox County,70.64834071796726
Alabama,Winston County,1.1014784101855342
Alaska,Aleutians East Borough,10.535767734211314
Alaska,Aleutians West Census Area,7.558751315327955
Alaska,Anchorage Municipality,6.237801101458009
Alaska,Bethel Census Area,0.8859913072550987
Alaska,Bristol Bay Borough,0.11210762331838565
Alaska,Denali Borough,1.6154247003647733
Alaska,Dillingham Census Area,0.6403842305383229
Alaska,Fairbanks North Star Borough,5.713081269885879
Alaska,Haines Borough,0.7103393843725335
Alaska,Hoonah-Angoon Census Area,0.7501172058134083
Alaska,Juneau City and Borough,1.465380388325803
Alaska,Kenai Peninsula Borough,0.8095213489725969
Alaska,Ketchikan Gateway Borough,0.9409876723320446
Alaska,Kodiak Island Borough,1.4615883072935416
Alaska,Kusilvak Census Area,0.2463357556349304
Alaska,Lake and Peninsula Borough,1.1516314779270633
Alaska,Matanuska-Susitna Borough,1.3709876848508828
Alaska,Nome Census Area,0.6804793824903514
Alaska,North Slope Borough,1.4658821100443893
Alaska,Northwest Arctic Borough,1.2125902992776059
Alaska,Petersburg Borough,2.26628895184136
Alaska,Prince of Wales-Hyder Census Area,0.4258003469484309
Alaska,Sitka City and Borough,1.0718718266952498
Alaska,Skagway Municipality,0.3784295175023652
Alaska,Southeast Fairbanks Census Area,1.5353121801432956
Alaska,Valdez-Cordova Census Area,0.9613330484939117
Alaska,Wrangell City and Borough,0.4617968094038623
Alaska,Yakutat City and Borough,2.936378466557912
Alaska,Yukon-Koyukuk Census Area,0.5422013374299656
Arizona,Apache County,0.9905699974816017
Arizona,Cochise County,4.71022803673266
Arizona,Coconino County,1.6873117321006204
Arizona,Gila County,0.9499802479354389
Arizona,Graham County,2.110656825784527
Arizona,Greenlee County,1.9414419141567847
Arizona,La Paz County,1.2753076617705439
Arizona,Maricopa County,5.885223588495727
Arizona,Mohave County,1.3661429052882479
Arizona,Navajo County,1.307756956694404
Arizona,Pima County,4.129501745006311
Arizona,Pinal County,5.0021643743974185
Arizona,Santa Cruz County,0.9491831858978499
Arizona,Yavapai County,0.9579087084655014
Arizona,Yuma County,2.737486231795374
Arkansas,Arkansas County,24.347637389464545
Arkansas,Ashley County,25.44869949131395
Arkansas,Baxter County,0.4043553455289504
Arkansas,Benton County,2.019449517767311
Arkansas,Boone County,0.5050776422545806
Arkansas,Bradley County,27.82585181179016
Arkansas,Calhoun County,21.935360489577356
Arkansas,Carroll County,0.8879584175570314
Arkansas,Chicot County,54.02194613222091
Arkansas,Clark County,23.89431361286617
Arkansas,Clay County,0.7214243166324708
Arkansas,Cleburne County,0.5379510739388228
Arkansas,Cleveland County,11.430634099386355
Arkansas,Columbia County,35.99568715269138
Arkansas,Conway County,11.403967838622199
Arkansas,Craighead County,14.841788527512122
Arkansas,Crawford County,1.666045411082119
Arkansas,Crittenden County,52.02908318526234
Arkansas,Cross County,22.963434390187455
Arkansas,Dallas County,41.20199894792215
Arkansas,Desha County,47.797743418303384
Arkansas,Drew County,28.261795718393866
Arkansas,Faulkner County,11.557193629064104
